vtkOriginalIndices,Py,Pz,Y,Z,__vtkIsSelected__
172,2.70538e-020,-1.68625e-020,-0.00131862,0.0036258,0
173,2.39577e-020,-2.0652e-020,-0.00124359,0.00363439,0
174,5.94241e-021,1.98008e-020,-0.0011947,0.00357568,0
175,9.11193e-021,2.34057e-020,-0.00126973,0.00356708,0
176,1.3353e-020,2.85672e-020,-0.00134476,0.00355849,0
177,4.58129e-021,1.6881e-020,-0.00124172,0.0035029,0
178,8.59815e-021,2.17827e-020,-0.00131675,0.00349431,0
179,3.9987e-021,1.52203e-020,-0.00128874,0.00343013,0
180,6.33099e-021,1.96778e-020,-0.00123538,0.00354855,0
181,9.34419e-021,2.31052e-020,-0.00131041,0.00353996,0
182,5.20753e-021,1.71996e-020,-0.0012824,0.00347578,0
183,1.18278e-019,-2.09019e-019,-0.00173925,0.0035554,0
184,6.26478e-020,-8.96396e-020,-0.0017662,0.00349011,0
185,1.22945e-020,1.83232e-020,-0.00179315,0.00342481,0
186,5.87704e-020,-8.63599e-020,-0.00167961,0.00350073,0
187,1.02531e-020,1.78401e-020,-0.00170656,0.00343543,0
188,9.57735e-021,1.5213e-020,-0.00161997,0.00344606,0
189,7.65619e-020,-1.21646e-019,-0.00172836,0.00351541,0
190,2.61995e-020,-1.3639e-020,-0.00175531,0.00345012,0
191,2.55696e-020,-1.64331e-020,-0.00166872,0.00346074,0
192,1.1467e-020,2.44386e-020,-0.00139112,0.00353944,0
193,7.9828e-021,1.61284e-020,-0.00145516,0.00349089,0
194,4.82046e-021,7.98591e-021,-0.0015192,0.00344234,0
195,7.29514e-021,1.85114e-020,-0.00136311,0.00347526,0
196,4.12475e-021,1.04939e-020,-0.00142715,0.00342671,0
197,3.43626e-021,1.29752e-020,-0.0013351,0.00341108,0
198,8.9023e-021,1.96719e-020,-0.00140313,0.00350186,0
199,5.48149e-021,1.14997e-020,-0.00146717,0.00345332,0
200,4.81269e-021,1.38819e-020,-0.00137512,0.00343768,0
201,1.04887e-020,8.64086e-021,-0.0014197,0.00357285,0
202,4.61721e-020,-9.48194e-020,-0.00147744,0.0036089,0
203,1.02957e-019,-2.49242e-019,-0.00153518,0.00364495,0
204,6.75466e-021,5.95437e-022,-0.00148374,0.0035243,0
205,5.19046e-020,-1.24265e-019,-0.00154148,0.00356035,0
206,5.9659e-021,-1.18755e-020,-0.00154778,0.00347575,0
207,2.07053e-020,-2.7389e-020,-0.0014603,0.00356868,0
208,5.72872e-020,-1.33838e-019,-0.00151804,0.00360474,0
209,1.68117e-020,-3.51218e-020,-0.00152434,0.00352014,0
210,1.28086e-019,-2.63616e-019,-0.00170829,0.00358714,0
211,6.3429e-020,-1.29723e-019,-0.00164865,0.00353247,0
212,1.42865e-020,-2.78776e-020,-0.00158901,0.0034778,0
213,1.15881e-019,-2.55127e-019,-0.00164235,0.00361707,0
214,5.62422e-020,-1.30623e-019,-0.00158271,0.0035624,0
215,1.03586e-019,-2.46573e-019,-0.00157641,0.003647,0
216,9.65972e-020,-2.03633e-019,-0.00166643,0.0035789,0
217,4.21701e-020,-9.06003e-020,-0.00160679,0.00352422,0
218,8.5047e-020,-1.95355e-019,-0.00160049,0.00360882,0
219,1.12066e-019,-2.68404e-019,-0.0015086,0.00368266,0
220,6.73829e-020,-1.38842e-019,-0.00145086,0.00364661,0
221,2.66707e-020,-2.10912e-020,-0.00139312,0.00361056,0
222,1.00612e-019,-2.73249e-019,-0.00143517,0.00371119,0
223,6.04314e-020,-1.55065e-019,-0.00137743,0.00367514,0
224,1.01971e-019,-3.10519e-019,-0.00136173,0.00373972,0
225,8.64526e-020,-2.09891e-019,-0.00146488,0.00368015,0
226,4.74287e-020,-9.61231e-020,-0.00140714,0.0036441,0
227,8.7067e-020,-2.44278e-019,-0.00139144,0.00370868,0
228,1.64464e-019,-3.28094e-019,-0.00177572,0.00356513,0
229,1.49848e-019,-2.84987e-019,-0.0018255,0.00353963,0
230,1.79725e-019,-3.29519e-019,-0.00187528,0.00351413,0
231,9.21324e-020,-1.73609e-019,-0.00180267,0.00349983,0
232,9.10149e-020,-1.60251e-019,-0.00185245,0.00347433,0
233,2.77423e-020,-3.62706e-020,-0.00182962,0.00343453,0
234,1.1641e-019,-2.24986e-019,-0.0018013,0.00353486,0
235,1.38891e-019,-2.55706e-019,-0.00185108,0.00350936,0
236,5.86352e-020,-1.01969e-019,-0.00182825,0.00346957,0
237,-3.50951e-022,9.83465e-021,0.00136381,0.000280486,0
238,1.52589e-022,1.01104e-020,0.00142355,0.000190259,0
239,2.82216e-022,1.02274e-020,0.00148329,0.000100032,0
240,-4.99249e-022,9.80143e-021,0.00146678,0.000296121,0
241,7.93708e-023,1.0095e-020,0.00152652,0.000205894,0
242,-6.61251e-022,9.76678e-021,0.00156975,0.000311755,0
243,-1.73962e-022,9.94404e-021,0.00141805,0.000255622,0
244,2.2094e-022,1.01622e-020,0.00147779,0.000165395,0
245,-2.97686e-022,9.91725e-021,0.00152102,0.000271257,0
246,2.6713e-022,9.79846e-021,0.00170992,0.000141095,0
247,2.73246e-023,9.72158e-021,0.00166455,0.000216469,0
248,-4.97203e-022,9.71432e-021,0.00161919,0.000291842,0
249,2.83123e-022,1.00429e-020,0.00162132,0.000110607,0
250,1.58011e-022,1.00504e-020,0.00157596,0.000185981,0
251,2.72658e-022,1.01999e-020,0.00153273,8.01193e-005,0
252,2.38178e-022,9.86394e-021,0.00166526,0.000156057,0
253,-5.60059e-023,9.84793e-021,0.0016199,0.000231431,0
254,2.75325e-022,1.01093e-020,0.00157667,0.000125569,0
255,6.08392e-023,1.01141e-020,0.00114118,3.20646e-005,0
256,-6.99025e-023,1.01579e-020,0.00106029,2.80028e-005,0
257,-1.64858e-022,1.01916e-020,0.000979411,2.3941e-005,0
258,3.12139e-024,1.01741e-020,0.00110009,1.01538e-005,0
259,-2.12424e-023,1.01865e-020,0.00101921,6.09202e-006,0
260,-1.49064e-022,9.83384e-021,0.00131535,0.000247344,0
261,1.70823e-022,9.90268e-021,0.00127291,0.000163552,0
262,2.14548e-022,1.00243e-020,0.00123047,7.97608e-005,0
263,2.25262e-022,1.01067e-020,0.00137508,0.000157117,0
264,2.28713e-022,1.01262e-020,0.00133265,7.33255e-005,0
265,2.44037e-022,1.02082e-020,0.00143482,6.68901e-005,0
266,1.12603e-022,9.97112e-021,0.00132111,0.000189338,0
267,2.22589e-022,1.00369e-020,0.00127867,0.000105546,0
268,2.58849e-022,1.01538e-020,0.00138085,9.91108e-005,0
269,1.65722e-023,1.01782e-020,0.00117784,6.02218e-006,0
270,6.97983e-023,1.01428e-020,0.00122602,2.44339e-005,0
271,5.30329e-023,1.01777e-020,0.0013282,1.79986e-005,0
272,3.99058e-023,1.01942e-020,0.00143038,1.15632e-005,0
273,-8.69385e-020,1.59772e-020,-0.00324416,0.00223514,0
274,-2.18024e-020,-7.64499e-021,-0.00326217,0.00225355,0
275,6.90468e-020,-5.49432e-020,-0.00328019,0.00227196,0
276,3.64337e-020,-4.09838e-020,-0.00328835,0.00221521,0
277,9.69675e-020,-6.17531e-020,-0.00330637,0.00223362,0
278,1.8836e-019,-1.0931e-019,-0.00333254,0.00219528,0
279,-3.6445e-020,8.74521e-022,-0.0032649,0.00223463,0
280,4.57322e-020,-4.04578e-020,-0.00328291,0.00225305,0
281,8.00268e-020,-5.22511e-020,-0.00330909,0.00221471,0
282,1.3612e-019,-1.05475e-019,-0.0032042,0.00237743,0
283,1.28609e-019,-9.69284e-020,-0.00323302,0.00233771,0
284,1.21174e-019,-8.84778e-020,-0.00326185,0.00229798,0
285,-1.18775e-020,-8.29154e-021,-0.00321501,0.0023193,0
286,-4.58e-021,-1.70056e-020,-0.00324384,0.00227957,0
287,-8.86647e-020,2.71547e-020,-0.00322583,0.00226116,0
288,5.44672e-020,-4.56007e-020,-0.00321741,0.00234481,0
289,4.88627e-020,-3.90946e-020,-0.00324624,0.00230509,0
290,-4.14591e-020,8.99977e-021,-0.00322823,0.00228667,0
291,-5.89884e-020,3.58299e-020,-0.00302559,0.00240118,0
292,1.30217e-020,-1.85624e-020,-0.0030911,0.00239636,0
293,1.00448e-019,-8.47263e-020,-0.00315662,0.00239155,0
